% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
0.312	11	2	32	3	1	26	1836	0	0
0.312	12	3	32	3	1	28	2196	0	0
0.312	13	4	32	3	1	18	967	0	0
0.313	1	11	32	4	3	12	597	0	0
0.313	2	21	32	4	1	10	469	0	0
0.313	4	6	32	4	2	14	775	0	0
0.313	5	23	32	4	1	8	421	0	0
0.313	6	8	32	4	2	4	217	0	0
0.313	9	17	32	4	1	14	775	0	0
0.313	10	1	32	4	1	18	967	0	0
0.313	11	2	32	4	1	26	1836	0	0
0.313	12	3	32	4	1	28	2196	0	0
0.313	13	4	32	4	1	18	967	0	0
0.314	1	5	32	5	4	10	469	0	0
0.314	2	16	32	5	2	4	217	0	0
0.314	4	12	32	5	1	8	421	0	0
0.314	5	23	32	5	1	8	421	0	0
0.314	6	7	32	5	4	10	469	0	0
0.314	9	17	32	5	1	14	775	0	0
0.314	10	1	32	5	1	18	967	0	0
0.314	11	2	32	5	1	26	1836	0	0
0.314	12	3	32	5	1	28	2196	0	0
0.314	13	4	32	5	1	18	967	0	0
0.315	1	10	32	6	2	8	421	0	0
0.315	2	21	32	6	1	10	469	0	0
0.315	4	9	32	6	6	2	133	0	0
0.315	5	23	32	6	1	8	421	0	0
0.315	6	14	32	6	3	8	421	0	0
0.315	9	17	32	6	1	14	775	0	0
0.315	10	1	32	6	1	18	967	0	0
0.315	11	2	32	6	1	26	1836	0	0
0.315	12	3	32	6	1	28	2196	0	0
0.315	13	4	32	6	1	18	967	0	0
0.316	1	20	32	7	1	4	217	0	0
0.316	2	21	32	7	1	10	469	0	0
0.316	4	22	32	7	4	12	597	0	0
0.316	5	23	32	7	1	8	421	0	0
0.316	6	15	32	7	1	2	133	0	0
0.316	9	17	32	7	1	14	775	0	0
0.316	10	1	32	7	1	18	967	0	0
0.316	11	2	32	7	1	26	1836	0	0
0.316	12	3	32	7	1	28	2196	0	0
0.316	13	4	32	7	1	18	967	0	0
0.317	1	13	32	8	5	6	309	0	0
0.317	2	16	32	8	2	4	217	0	0
0.317	4	19	32	8	3	6	309	0	0
0.317	5	23	32	8	1	8	421	0	0
0.317	6	8	32	8	2	4	217	0	0
0.317	9	17	32	8	1	14	775	0	0
0.317	10	1	32	8	1	18	967	0	0
0.317	11	2	32	8	1	26	1836	0	0
0.317	12	3	32	8	1	28	2196	0	0
0.317	13	4	32	8	1	18	967	0	0
0.318	1	11	32	9	3	12	597	0	0
0.318	2	21	32	9	1	10	469	0	0
0.318	4	6	32	9	2	14	775	0	0
0.318	5	23	32	9	1	8	421	0	0
0.318	6	7	32	9	4	10	469	0	0
