% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
0.296	4	22	30	7	4	0	15
0.296	4	9	30	7	6	0	15
0.296	5	23	30	7	1	6	325
0.296	6	15	30	7	1	6	75
0.296	6	8	30	7	2	6	75
0.296	6	14	30	7	3	0	19
0.296	6	7	30	7	4	0	19
0.296	9	17	30	7	1	6	325
0.296	10	1	30	7	1	18	999
0.296	11	2	30	7	1	18	999
0.296	12	3	30	7	1	14	807
0.296	13	4	30	7	1	18	999
0.297	1	11	30	8	3	6	63
0.297	1	20	30	8	1	10	97
0.297	1	10	30	8	2	10	97
0.297	2	21	30	8	1	4	105
0.297	2	16	30	8	2	2	65
0.297	4	12	30	8	1	4	41
0.297	4	6	30	8	2	4	41
0.297	4	19	30	8	3	2	26
0.297	4	22	30	8	4	0	15
0.297	4	9	30	8	6	0	15
0.297	5	23	30	8	1	6	325
0.297	6	15	30	8	1	6	75
0.297	6	8	30	8	2	6	75
0.297	6	14	30	8	3	0	19
0.297	6	7	30	8	4	0	19
0.297	9	17	30	8	1	6	325
0.297	10	1	30	8	1	18	999
0.297	11	2	30	8	1	18	999
0.297	12	3	30	8	1	14	807
0.297	13	4	30	8	1	18	999
0.298	1	11	30	9	3	6	63
0.298	1	20	30	9	1	10	97
0.298	1	10	30	9	2	10	97
0.298	2	21	30	9	1	4	105
0.298	2	16	30	9	2	2	65
0.298	4	12	30	9	1	4	41
0.298	4	6	30	9	2	4	41
0.298	4	19	30	9	3	2	26
0.298	4	22	30	9	4	0	15
0.298	4	9	30	9	6	0	15
0.298	5	23	30	9	1	6	325
0.298	6	15	30	9	1	6	75
0.298	6	8	30	9	2	6	75
0.298	6	14	30	9	3	0	19
0.298	6	7	30	9	4	0	19
0.298	9	17	30	9	1	6	325
0.298	10	1	30	9	1	18	999
0.298	11	2	30	9	1	18	999
0.298	12	3	30	9	1	14	807
0.298	13	4	30	9	1	18	999
0.299	1	11	30	10	3	6	63
0.299	1	20	30	10	1	10	97
0.299	1	10	30	10	2	10	97
0.299	2	21	30	10	1	4	105
0.299	2	16	30	10	2	2	65
0.299	4	12	30	10	1	4	41
0.299	4	6	30	10	2	4	41
0.299	4	19	30	10	3	2	26
0.299	4	22	30	10	4	0	15
0.299	4	9	30	10	6	0	15
0.299	5	23	30	10	1	6	325
0.299	6	15	30	10	1	6	75
0.299	6	8	30	10	2	6	75
0.299	6	14	30	10	3	0	19
0.299	6	7	30	10	4	0	19
0.299	9	17	30	10	1	6	325
0.299	10	1	30	10	1	18	999
0.299	11	2	30	10	1	18	999
0.299	12	3	30	10	1	14	807
0.3	1	11	31	1	3	6	63
0.3	1	20	31	1	1	10	97
0.3	1	10	31	1	2	10	97
0.3	2	21	31	1	1	4	105
0.3	2	16	31	1	2	2	65
0.3	4	12	31	1	1	4	41
0.3	4	6	31	1	2	4	41
0.3	4	19	31	1	3	2	26
0.3	4	22	31	1	4	0	15
0.3	4	9	31	1	6	0	15
0.3	5	23	31	1	1	6	325
0.3	6	15	31	1	1	6	75
0.3	6	8	31	1	2	6	75
0.3	6	14	31	1	3	0	19
0.3	6	7	31	1	4	0	19
0.3	9	17	31	1	1	6	325
0.3	10	1	31	1	1	18	999
0.3	11	2	31	1	1	28	2292
0.3	12	3	31	1	1	14	807
0.3	13	4	31	1	1	18	999
0.301	1	11	31	2	3	6	63
0.301	1	20	31	2	1	10	97
0.301	1	10	31	2	2	10	97
0.301	2	21	31	2	1	4	105
0.301	2	16	31	2	2	2	65
0.301	4	12	31	2	1	4	41
0.301	4	6	31	2	2	4	41
0.301	4	19	31	2	3	2	26
0.301	4	22	31	2	4	0	15
0.301	4	9	31	2	6	0	15
0.301	5	23	31	2	1	6	325
0.301	6	15	31	2	1	6	75
0.301	6	8	31	2	2	6	75
0.301	6	14	31	2	3	0	19
0.301	6	7	31	2	4	0	19
0.301	9	17	31	2	1	6	325
0.301	10	1	31	2	1	18	999
0.301	11	2	31	2	1	28	2292
0.301	12	3	31	2	1	14	807
0.301	13	4	31	2	1	18	999
0.302	1	11	31	3	3	6	63
0.302	1	10	31	3	2	10	97
0.302	2	21	31	3	1	4	105
0.302	2	16	31	3	2	2	65
0.302	4	12	31	3	1	4	41
0.302	4	6	31	3	2	4	41
0.302	4	19	31	3	3	2	26
0.302	4	22	31	3	4	0	15
0.302	4	9	31	3	6	0	15
0.302	5	23	31	3	1	6	325
0.302	6	15	31	3	1	6	75
0.302	6	8	31	3	2	6	75
0.302	6	14	31	3	3	0	19
0.302	6	7	31	3	4	0	19
0.302	9	17	31	3	1	6	325
0.302	10	1	31	3	1	18	999
0.302	11	2	31	3	1	18	999
0.302	12	3	31	3	1	14	807
0.302	13	4	31	3	1	18	999
0.303	1	11	31	4	3	6	63
0.303	1	20	31	4	1	10	97
0.303	1	10	31	4	2	10	97
0.303	2	21	31	4	1	4	105
0.303	2	16	31	4	2	2	65
0.303	4	12	31	4	1	4	41
0.303	4	6	31	4	2	4	41
0.303	4	19	31	4	3	2	26
0.303	4	22	31	4	4	0	15
0.303	4	9	31	4	6	0	15
0.303	5	23	31	4	1	6	325
0.303	6	15	31	4	1	6	75
0.303	6	8	31	4	2	6	75
0.303	6	14	31	4	3	0	19
0.303	6	7	31	4	4	0	19
0.303	9	17	31	4	1	6	325
0.303	10	1	31	4	1	18	999
0.303	11	2	31	4	1	18	999
0.303	12	3	31	4	1	14	807
